County of Santa Barbara,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,
,,,,,,
#474 - Santa Barbara City College,,,,,,
"Lat 34-24-19, Long 119-41-19, Elev 65 ft",,,,,,
474,2014,2014,2,17,0.01,
474,2014,2014,2,20,0.01,
474,2014,2014,2,27,1.5,
474,2014,2014,2,28,1.3,
474,2014,2014,3,1,0.58,
474,2014,2014,3,2,1.45,
474,2014,2014,3,3,0.03,
474,2014,2014,3,5,0.01,
474,2014,2014,3,27,0.07,
474,2014,2014,4,1,0.14,
474,2014,2014,4,2,0.17,
474,2014,2014,4,14,0.01,
474,2014,2014,4,15,0.01,
474,2014,2014,4,26,0.01,
474,2014,2014,4,27,0.01,
474,2014,2014,5,23,0.05,
474,2014,2014,5,24,0.01,
474,2014,2014,8,3,0.01,
474,2014,2014,8,4,0.02,
474,2015,2014,9,7,0.01,
474,2015,2014,9,23,0.01,
474,2015,2014,9,24,0.01,
474,2015,2014,10,3,0.01,
474,2015,2014,11,1,0.63,
474,2015,2014,11,2,0.01,
474,2015,2014,12,1,0.04,
474,2015,2014,12,2,0.32,
474,2015,2014,12,3,1.47,
474,2015,2014,12,4,0.06,
474,2015,2014,12,5,0.02,
474,2015,2014,12,8,0.01,
474,2015,2014,12,12,1.36,
474,2015,2014,12,13,0.02,
474,2015,2014,12,16,0.19,
474,2015,2014,12,17,0.38,
474,2015,2015,1,11,1.24,
474,2015,2015,1,12,0.09,
474,2015,2015,1,13,0.01,
474,2015,2015,1,21,0.01,
474,2015,2015,1,27,0.1,
474,2015,2015,2,4,0.01,
474,2015,2015,2,7,0.03,
474,2015,2015,2,8,0.49,
474,2015,2015,2,9,0.02,
474,2015,2015,2,10,0.01,
474,2015,2015,2,23,0.14,
474,2015,2015,3,1,0.18,
474,2015,2015,3,3,0.14,
474,2015,2015,4,8,0.18,
474,2015,2015,5,15,0.22,
474,2015,2015,6,9,0.03,
474,2015,2015,6,10,0.61,
474,2015,2015,6,11,0.01,
474,2015,2015,6,22,0.01,
474,2015,2015,7,19,0.07,
474,2015,2015,7,20,0.05,
474,2016,2015,9,15,0.05,
474,2016,2015,9,16,0.04,
474,2016,2015,9,17,0.03,
474,2016,2015,10,5,0.39,
474,2016,2015,11,3,0.01,
474,2016,2015,11,16,0.06,
474,2016,2015,12,14,0.15,
474,2016,2015,12,20,0.13,
474,2016,2016,1,5,0.93,
474,2016,2016,1,6,0.9,
474,2016,2016,1,7,1.78,
474,2016,2016,1,11,0.07,
474,2016,2016,1,19,0.07,
474,2016,2016,1,20,0.46,
474,2016,2016,1,21,0.01,
474,2016,2016,1,23,0.01,
474,2016,2016,1,31,0.34,
474,2016,2016,2,1,0.85,
474,2016,2016,2,18,0.31,
474,2016,2016,2,29,0.01,
474,2016,2016,3,2,0.01,
474,2016,2016,3,4,0.01,
474,2016,2016,3,6,1.26,
474,2016,2016,3,7,0.68,
474,2016,2016,3,8,0.1,
474,2016,2016,3,12,0.54,
474,2016,2016,4,8,0.13,
474,2016,2016,4,9,0.28,
474,2016,2016,4,10,0.02,
474,2016,2016,4,11,0.02,
474,2016,2016,5,6,0.01,
474,2017,2016,9,3,0.01,
474,2017,2016,9,20,0.01,
474,2017,2016,10,17,0.21,
474,2017,2016,10,18,0.01,
474,2017,2016,10,28,0.28,
474,2017,2016,10,30,0.03,
474,2017,2016,10,31,0.13,
474,2017,2016,11,1,0.01,
474,2017,2016,11,21,0.56,
474,2017,2016,11,27,0.38,
474,2017,2016,12,9,0.05,
474,2017,2016,12,10,0.01,
474,2017,2016,12,11,0.01,
474,2017,2016,12,16,1.21,
474,2017,2016,12,22,0.06,
474,2017,2016,12,24,1.59,
474,2017,2016,12,30,0.02,
474,2017,2016,12,31,0.23,
474,2017,2017,1,1,0.05,
474,2017,2017,1,5,0.63,
474,2017,2017,1,7,0.23,
474,2017,2017,1,8,0.12,
474,2017,2017,1,9,0.8,
474,2017,2017,1,11,0.8,
474,2017,2017,1,12,0.11,
474,2017,2017,1,13,0.12,
474,2017,2017,1,14,0.01,
474,2017,2017,1,19,0.56,
474,2017,2017,1,20,0.53,
474,2017,2017,1,21,1.27,
474,2017,2017,1,22,0.4,
474,2017,2017,1,23,1.04,
474,2017,2017,1,24,0.02,
474,2017,2017,2,3,0.22,
474,2017,2017,2,4,0.19,
474,2017,2017,2,6,1.34,
474,2017,2017,2,7,0.27,
474,2017,2017,2,8,0.47,
474,2017,2017,2,9,0.02,
474,2017,2017,2,10,0.04,
474,2017,2017,2,11,0.58,
474,2017,2017,2,16,0.01,
474,2017,2017,2,17,1.06,
474,2017,2017,2,18,3.73,
474,2017,2017,2,19,0.27,
474,2017,2017,2,20,0.64,
474,2017,2017,2,21,0.14,
474,2017,2017,2,22,0.1,
474,2017,2017,2,26,0.13,
474,2017,2017,2,27,0.01,
474,2017,2017,3,6,0.19,
474,2017,2017,3,16,0.02,
474,2017,2017,3,21,0.12,
474,2017,2017,3,22,0.39,
474,2017,2017,4,8,0.1,
474,2017,2017,4,14,0.04,
474,2017,2017,4,19,0.17,
474,2017,2017,4,20,0.01,
474,2017,2017,5,7,0.12,
474,2017,2017,5,8,0.04,
474,2017,2017,6,8,0.01,
474,2017,2017,6,20,0.01,
474,2017,2017,8,2,0.02,
474,2017,2017,8,31,0.01,
474,2018,2017,9,4,0.24,
474,2018,2017,9,5,0.01,
474,2018,2017,9,11,0.13,
474,2018,2017,9,30,0.01,
474,2018,2017,11,16,0.03,
474,2018,2017,11,17,0.01,
474,2018,2018,1,4,0.03,
474,2018,2018,1,5,0.1,
474,2018,2018,1,8,0.01,
474,2018,2018,1,9,1.08,
474,2018,2018,1,10,0.28,
474,2018,2018,1,12,0.01,
474,2018,2018,2,8,0.01,
474,2018,2018,2,13,0.01,
474,2018,2018,2,14,0.03,
474,2018,2018,3,2,0.11,
474,2018,2018,3,3,0.18,
474,2018,2018,3,11,1.03,
474,2018,2018,3,13,0.08,
474,2018,2018,3,14,0.58,
474,2018,2018,3,15,0.46,
474,2018,2018,3,17,0.1,
474,2018,2018,3,21,0.54,
474,2018,2018,3,22,1.78,
474,2018,2018,3,23,1.07,
474,2018,2018,4,19,0.03,
474,2018,2018,5,2,0.16,
474,2018,2018,5,30,0.02,
474,2018,2018,5,31,0.01,
474,2018,2018,6,18,0.08,
474,2019,2018,9,9,0.01,
474,2019,2018,9,18,0.01,
474,2019,2018,10,3,0.06,
474,2019,2018,10,4,0.8,
474,2019,2018,10,5,0.14,
474,2019,2018,10,14,0.01,
474,2019,2018,10,26,0.01,
474,2019,2018,10,27,0.01,
474,2019,2018,10,28,0.01,
474,2019,2018,10,30,0.01,
474,2019,2018,11,22,0.67,
474,2019,2018,11,29,1.19,
474,2019,2018,11,30,0.27,
474,2019,2018,12,1,0.01,
474,2019,2018,12,5,0.02,
474,2019,2018,12,6,0.07,
474,2019,2018,12,7,0.02,
474,2019,2018,12,18,0.07,
474,2019,2018,12,23,0.01,
474,2019,2018,12,25,0.07,
474,2019,2019,1,6,0.98,
474,2019,2019,1,7,1.23,
474,2019,2019,1,8,0.03,
474,2019,2019,1,10,0.06,
474,2019,2019,1,12,0.9,
474,2019,2019,1,15,0.05,
474,2019,2019,1,16,1.09,
474,2019,2019,1,17,0.86,
474,2019,2019,1,31,1.48,
474,2019,2019,2,1,0.58,
474,2019,2019,2,2,0.97,
474,2019,2019,2,3,1.14,
474,2019,2019,2,4,0.58,
474,2019,2019,2,5,0.29,
474,2019,2019,2,6,0.01,
474,2019,2019,2,9,0.37,
474,2019,2019,2,10,0.08,
474,2019,2019,2,11,0.2,
474,2019,2019,2,14,0.79,
474,2019,2019,2,15,0.14,
474,2019,2019,2,16,0.12,
474,2019,2019,2,18,0.01,
474,2019,2019,2,28,0.75,
474,2019,2019,3,2,1.39,
474,2019,2019,3,3,0.23,
474,2019,2019,3,6,1.36,
474,2019,2019,3,7,0.2,
474,2019,2019,3,8,0.01,
474,2019,2019,3,20,0.06,
474,2019,2019,3,21,0.18,
474,2019,2019,3,22,0.01,
474,2019,2019,3,28,0.18,
474,2019,2019,4,27,0.01,
474,2019,2019,4,28,0.02,
474,2019,2019,4,29,0.04,
474,2019,2019,4,30,0.03,
474,2019,2019,5,6,0.04,
474,2019,2019,5,7,0.03,
474,2019,2019,5,11,0.02,
474,2019,2019,5,16,0.86,
474,2019,2019,5,19,0.84,
474,2019,2019,5,20,0.01,
474,2019,2019,6,7,0.01,
474,2019,2019,6,24,0.01,
474,2019,2019,6,26,0.01,
474,2019,2019,8,15,0.01,
474,2019,2019,8,20,0.01,
474,2020,2019,11,6,0.01,
474,2020,2019,11,9,0.02,
474,2020,2019,11,10,0.02,
474,2020,2019,11,27,0.86,
474,2020,2019,11,28,0.79,
474,2020,2019,11,29,0.12,
474,2020,2019,12,1,0.28,
474,2020,2019,12,4,0.83,
474,2020,2019,12,5,0.1,
474,2020,2019,12,6,0.01,
474,2020,2019,12,7,0.13,
474,2020,2019,12,8,0.4,
474,2020,2019,12,9,0.17,
474,2020,2019,12,23,2.38,
474,2020,2019,12,24,0.05,
474,2020,2019,12,26,1.47,
474,2020,2020,1,17,0.39,
474,2020,2020,2,17,0.01,
474,2020,2020,2,20,0.01,
474,2020,2020,2,23,0.04,
474,2020,2020,3,2,0.14,
474,2020,2020,3,7,0.01,
474,2020,2020,3,10,0.06,
474,2020,2020,3,11,0.49,
474,2020,2020,3,13,0.32,
474,2020,2020,3,14,0.02,
474,2020,2020,3,15,0.05,
474,2020,2020,3,16,0.39,
474,2020,2020,3,17,0.99,
474,2020,2020,3,18,0.01,
474,2020,2020,3,23,0.43,
474,2020,2020,3,25,0.01,
474,2020,2020,4,6,1.4,
474,2020,2020,4,7,0.01,
474,2020,2020,4,8,0.38,
474,2020,2020,4,9,0.45,
474,2020,2020,4,10,0.26,
474,2020,2020,5,18,0.09,
474,2020,2020,6,5,0.07,
474,2020,2020,6,25,0.01,
474,2020,2020,6,28,0.02,
474,2020,2020,7,7,0.01,
474,2020,2020,8,1,0.01,
474,2020,2020,8,12,0.01,
474,2020,2020,8,31,0,
